geo_value,time_value,value,location,issue_date
al,2019-12-31,NA,01,2022-01-30
al,2020-01-01,NA,01,2022-01-30
al,2020-01-02,NA,01,2022-01-30
al,2020-01-03,NA,01,2022-01-30
al,2020-01-04,NA,01,2022-01-30
al,2020-01-05,NA,01,2022-01-30
al,2020-01-06,NA,01,2022-01-30
al,2020-01-07,NA,01,2022-01-30
al,2020-01-08,NA,01,2022-01-30
al,2020-01-09,NA,01,2022-01-30
al,2020-01-10,NA,01,2022-01-30
al,2020-01-11,NA,01,2022-01-30
al,2020-01-12,NA,01,2022-01-30
al,2020-01-13,NA,01,2022-01-30
al,2020-01-14,NA,01,2022-01-30
al,2020-01-15,NA,01,2022-01-30
al,2020-01-16,NA,01,2022-01-30
al,2020-01-17,NA,01,2022-01-30
al,2020-01-18,NA,01,2022-01-30
al,2020-01-19,NA,01,2022-01-30
al,2020-01-20,NA,01,2022-01-30
al,2020-01-21,NA,01,2022-01-30
al,2020-01-22,NA,01,2022-01-30
al,2020-01-23,NA,01,2022-01-30
al,2020-01-24,NA,01,2022-01-30
al,2020-01-25,NA,01,2022-01-30
al,2020-01-26,NA,01,2022-01-30
al,2020-01-27,NA,01,2022-01-30
al,2020-01-28,NA,01,2022-01-30
al,2020-01-29,NA,01,2022-01-30
al,2020-01-30,NA,01,2022-01-30
al,2020-01-31,NA,01,2022-01-30
al,2020-02-01,NA,01,2022-01-30
al,2020-02-02,NA,01,2022-01-30
al,2020-02-03,NA,01,2022-01-30
al,2020-02-04,NA,01,2022-01-30
al,2020-02-05,NA,01,2022-01-30
al,2020-02-06,NA,01,2022-01-30
al,2020-02-07,NA,01,2022-01-30
al,2020-02-08,NA,01,2022-01-30
al,2020-02-09,NA,01,2022-01-30
al,2020-02-10,NA,01,2022-01-30
al,2020-02-11,NA,01,2022-01-30
al,2020-02-12,NA,01,2022-01-30
al,2020-02-13,NA,01,2022-01-30
al,2020-02-14,NA,01,2022-01-30
al,2020-02-15,NA,01,2022-01-30
al,2020-02-16,NA,01,2022-01-30
al,2020-02-17,NA,01,2022-01-30
