target_end_date,location,value,target_variable,model
2013-01-06,hhs1,3.28461,inc wili,observed data
2013-01-06,hhs10,2.56788,inc wili,observed data
2013-01-06,hhs2,4.7772,inc wili,observed data
2013-01-06,hhs3,5.11067,inc wili,observed data
2013-01-06,hhs4,3.48011,inc wili,observed data
2013-01-06,hhs5,3.82974,inc wili,observed data
2013-01-06,hhs6,7.26613,inc wili,observed data
2013-01-06,hhs7,5.06625,inc wili,observed data
2013-01-06,hhs8,3.85313,inc wili,observed data
2013-01-06,hhs9,3.49033,inc wili,observed data
2013-01-06,nat,4.32584,inc wili,observed data
2013-01-13,hhs1,3.02114,inc wili,observed data
2013-01-13,hhs10,3.00818,inc wili,observed data
2013-01-13,hhs2,5.32368,inc wili,observed data
2013-01-13,hhs3,5.16413,inc wili,observed data
2013-01-13,hhs4,3.12769,inc wili,observed data
2013-01-13,hhs5,3.70465,inc wili,observed data
2013-01-13,hhs6,7.3695,inc wili,observed data
2013-01-13,hhs7,5.21627,inc wili,observed data
2013-01-13,hhs8,4.13787,inc wili,observed data
2013-01-13,hhs9,4.68634,inc wili,observed data
2013-01-13,nat,4.51113,inc wili,observed data
2013-01-20,hhs1,2.50428,inc wili,observed data
2013-01-20,hhs10,3.69316,inc wili,observed data
2013-01-20,hhs2,4.6393,inc wili,observed data
2013-01-20,hhs3,3.59356,inc wili,observed data
2013-01-20,hhs4,2.49331,inc wili,observed data
2013-01-20,hhs5,3.31545,inc wili,observed data
2013-01-20,hhs6,7.10997,inc wili,observed data
2013-01-20,hhs7,5.34475,inc wili,observed data
2013-01-20,hhs8,3.97647,inc wili,observed data
2013-01-20,hhs9,5.57853,inc wili,observed data
2013-01-20,nat,4.2171,inc wili,observed data
2013-01-27,hhs1,2.21254,inc wili,observed data
2013-01-27,hhs10,2.78231,inc wili,observed data
2013-01-27,hhs2,3.82508,inc wili,observed data
2013-01-27,hhs3,3.05049,inc wili,observed data
2013-01-27,hhs4,2.53531,inc wili,observed data
2013-01-27,hhs5,2.97914,inc wili,observed data
2013-01-27,hhs6,5.82086,inc wili,observed data
2013-01-27,hhs7,5.16544,inc wili,observed data
2013-01-27,hhs8,3.44291,inc wili,observed data
2013-01-27,hhs9,5.49148,inc wili,observed data
2013-01-27,nat,3.78956,inc wili,observed data
2013-02-03,hhs1,1.87401,inc wili,observed data
2013-02-03,hhs10,2.439,inc wili,observed data
2013-02-03,hhs2,3.5781,inc wili,observed data
2013-02-03,hhs3,2.58184,inc wili,observed data
2013-02-03,hhs4,2.28238,inc wili,observed data
2013-02-03,hhs5,2.68669,inc wili,observed data
2013-02-03,hhs6,4.4613,inc wili,observed data
2013-02-03,hhs7,4.34939,inc wili,observed data
2013-02-03,hhs8,2.97312,inc wili,observed data
2013-02-03,hhs9,4.98836,inc wili,observed data
2013-02-03,nat,3.29206,inc wili,observed data
2013-02-10,hhs1,1.5552,inc wili,observed data
2013-02-10,hhs10,2.09196,inc wili,observed data
2013-02-10,hhs2,3.71476,inc wili,observed data
2013-02-10,hhs3,2.75565,inc wili,observed data
2013-02-10,hhs4,2.15986,inc wili,observed data
2013-02-10,hhs5,2.43442,inc wili,observed data
2013-02-10,hhs6,3.85266,inc wili,observed data
2013-02-10,hhs7,3.42581,inc wili,observed data
2013-02-10,hhs8,2.63255,inc wili,observed data
2013-02-10,hhs9,4.49215,inc wili,observed data
2013-02-10,nat,3.0197,inc wili,observed data
2013-02-17,hhs1,1.50586,inc wili,observed data
2013-02-17,hhs10,1.8586,inc wili,observed data
2013-02-17,hhs2,3.43487,inc wili,observed data
2013-02-17,hhs3,2.63728,inc wili,observed data
2013-02-17,hhs4,2.03482,inc wili,observed data
2013-02-17,hhs5,2.29596,inc wili,observed data
2013-02-17,hhs6,3.28524,inc wili,observed data
2013-02-17,hhs7,3.06399,inc wili,observed data
2013-02-17,hhs8,2.17155,inc wili,observed data
2013-02-17,hhs9,3.81698,inc wili,observed data
2013-02-17,nat,2.71499,inc wili,observed data
2013-02-24,hhs1,1.3262100000000001,inc wili,observed data
2013-02-24,hhs10,1.41838,inc wili,observed data
2013-02-24,hhs2,2.77153,inc wili,observed data
2013-02-24,hhs3,2.56368,inc wili,observed data
2013-02-24,hhs4,1.94851,inc wili,observed data
2013-02-24,hhs5,2.14368,inc wili,observed data
2013-02-24,hhs6,3.22203,inc wili,observed data
2013-02-24,hhs7,2.37917,inc wili,observed data
2013-02-24,hhs8,2.10319,inc wili,observed data
2013-02-24,hhs9,3.47363,inc wili,observed data
2013-02-24,nat,2.4845,inc wili,observed data
2013-03-03,hhs1,1.30083,inc wili,observed data
2013-03-03,hhs10,1.02992,inc wili,observed data
2013-03-03,hhs2,2.98609,inc wili,observed data
2013-03-03,hhs3,3.30856,inc wili,observed data
2013-03-03,hhs4,2.20722,inc wili,observed data
2013-03-03,hhs5,1.9789,inc wili,observed data
2013-03-03,hhs6,3.14942,inc wili,observed data
2013-03-03,hhs7,2.26166,inc wili,observed data
2013-03-03,hhs8,1.79868,inc wili,observed data
2013-03-03,hhs9,3.60806,inc wili,observed data
2013-03-03,nat,2.57808,inc wili,observed data
2013-03-10,hhs1,1.18804,inc wili,observed data
2013-03-10,hhs10,1.07185,inc wili,observed data
2013-03-10,hhs2,2.86258,inc wili,observed data
2013-03-10,hhs3,2.64646,inc wili,observed data
2013-03-10,hhs4,2.04859,inc wili,observed data
2013-03-10,hhs5,2.14009,inc wili,observed data
2013-03-10,hhs6,3.04121,inc wili,observed data
2013-03-10,hhs7,1.90794,inc wili,observed data
2013-03-10,hhs8,1.75337,inc wili,observed data
2013-03-10,hhs9,3.14503,inc wili,observed data
2013-03-10,nat,2.39237,inc wili,observed data
2013-03-17,hhs1,1.19612,inc wili,observed data
2013-03-17,hhs10,0.654524,inc wili,observed data
2013-03-17,hhs2,2.53803,inc wili,observed data
2013-03-17,hhs3,2.23987,inc wili,observed data
2013-03-17,hhs4,1.83444,inc wili,observed data
2013-03-17,hhs5,1.77107,inc wili,observed data
2013-03-17,hhs6,2.56286,inc wili,observed data
2013-03-17,hhs7,1.51602,inc wili,observed data
2013-03-17,hhs8,1.21262,inc wili,observed data
2013-03-17,hhs9,2.89597,inc wili,observed data
2013-03-17,nat,2.06778,inc wili,observed data
2013-03-24,hhs1,1.18515,inc wili,observed data
2013-03-24,hhs10,0.738623,inc wili,observed data
2013-03-24,hhs2,2.1803,inc wili,observed data
2013-03-24,hhs3,2.11309,inc wili,observed data
2013-03-24,hhs4,1.73148,inc wili,observed data
2013-03-24,hhs5,1.5748,inc wili,observed data
2013-03-24,hhs6,2.33966,inc wili,observed data
2013-03-24,hhs7,1.50791,inc wili,observed data
2013-03-24,hhs8,1.24913,inc wili,observed data
2013-03-24,hhs9,2.61787,inc wili,observed data
2013-03-24,nat,1.90281,inc wili,observed data
2013-03-31,hhs1,1.19767,inc wili,observed data
2013-03-31,hhs10,0.721545,inc wili,observed data
2013-03-31,hhs2,1.92619,inc wili,observed data
2013-03-31,hhs3,1.6873,inc wili,observed data
2013-03-31,hhs4,1.44116,inc wili,observed data
2013-03-31,hhs5,1.39945,inc wili,observed data
2013-03-31,hhs6,2.23433,inc wili,observed data
2013-03-31,hhs7,1.1312,inc wili,observed data
2013-03-31,hhs8,1.16801,inc wili,observed data
2013-03-31,hhs9,2.2302399999999998,inc wili,observed data
2013-03-31,nat,1.65902,inc wili,observed data
2013-04-07,hhs1,1.24114,inc wili,observed data
2013-04-07,hhs10,0.425599,inc wili,observed data
2013-04-07,hhs2,1.6112899999999999,inc wili,observed data
2013-04-07,hhs3,1.52749,inc wili,observed data
2013-04-07,hhs4,1.18925,inc wili,observed data
2013-04-07,hhs5,1.22036,inc wili,observed data
2013-04-07,hhs6,2.02133,inc wili,observed data
2013-04-07,hhs7,1.02376,inc wili,observed data
2013-04-07,hhs8,1.01314,inc wili,observed data
2013-04-07,hhs9,1.8563,inc wili,observed data
2013-04-07,nat,1.43006,inc wili,observed data
2013-04-14,hhs1,1.05995,inc wili,observed data
2013-04-14,hhs10,0.404495,inc wili,observed data
2013-04-14,hhs2,1.39264,inc wili,observed data
2013-04-14,hhs3,1.14475,inc wili,observed data
2013-04-14,hhs4,1.02839,inc wili,observed data
2013-04-14,hhs5,1.13168,inc wili,observed data
2013-04-14,hhs6,1.9546,inc wili,observed data
2013-04-14,hhs7,0.926927,inc wili,observed data
2013-04-14,hhs8,1.01639,inc wili,observed data
2013-04-14,hhs9,1.68062,inc wili,observed data
2013-04-14,nat,1.27757,inc wili,observed data
2013-04-21,hhs1,0.783118,inc wili,observed data
2013-04-21,hhs10,0.374257,inc wili,observed data
2013-04-21,hhs2,1.4588,inc wili,observed data
2013-04-21,hhs3,1.09053,inc wili,observed data
2013-04-21,hhs4,0.861119,inc wili,observed data
2013-04-21,hhs5,0.971924,inc wili,observed data
2013-04-21,hhs6,1.87992,inc wili,observed data
2013-04-21,hhs7,0.949618,inc wili,observed data
2013-04-21,hhs8,1.00657,inc wili,observed data
2013-04-21,hhs9,1.64367,inc wili,observed data
2013-04-21,nat,1.19009,inc wili,observed data
2013-04-28,hhs1,0.805735,inc wili,observed data
2013-04-28,hhs10,0.43933,inc wili,observed data
2013-04-28,hhs2,1.43681,inc wili,observed data
2013-04-28,hhs3,1.05401,inc wili,observed data
2013-04-28,hhs4,0.68861000000000006,inc wili,observed data
2013-04-28,hhs5,0.843975,inc wili,observed data
2013-04-28,hhs6,1.65645,inc wili,observed data
2013-04-28,hhs7,0.840615,inc wili,observed data
2013-04-28,hhs8,1.00405,inc wili,observed data
2013-04-28,hhs9,1.61538,inc wili,observed data
2013-04-28,nat,1.09556,inc wili,observed data
2013-05-05,hhs1,0.690938,inc wili,observed data
2013-05-05,hhs10,0.209236,inc wili,observed data
2013-05-05,hhs2,1.26071,inc wili,observed data
2013-05-05,hhs3,1.2852,inc wili,observed data
2013-05-05,hhs4,0.703683,inc wili,observed data
2013-05-05,hhs5,0.857398,inc wili,observed data
2013-05-05,hhs6,1.73602,inc wili,observed data
2013-05-05,hhs7,0.769543,inc wili,observed data
2013-05-05,hhs8,0.929267,inc wili,observed data
2013-05-05,hhs9,1.54832,inc wili,observed data
2013-05-05,nat,1.08589,inc wili,observed data
2013-05-12,hhs1,0.623383,inc wili,observed data
2013-05-12,hhs10,0.316906,inc wili,observed data
2013-05-12,hhs2,1.33755,inc wili,observed data
2013-05-12,hhs3,1.13242,inc wili,observed data
2013-05-12,hhs4,0.760478,inc wili,observed data
2013-05-12,hhs5,0.852781,inc wili,observed data
2013-05-12,hhs6,1.63421,inc wili,observed data
2013-05-12,hhs7,0.603697,inc wili,observed data
2013-05-12,hhs8,0.738568,inc wili,observed data
2013-05-12,hhs9,1.61454,inc wili,observed data
2013-05-12,nat,1.07343,inc wili,observed data
2013-05-19,hhs1,0.595752,inc wili,observed data
2013-05-19,hhs10,0.301519,inc wili,observed data
2013-05-19,hhs2,1.18383,inc wili,observed data
2013-05-19,hhs3,1.08424,inc wili,observed data
2013-05-19,hhs4,0.817835,inc wili,observed data
2013-05-19,hhs5,0.816745,inc wili,observed data
2013-05-19,hhs6,1.47642,inc wili,observed data
2013-05-19,hhs7,0.729762,inc wili,observed data
2013-05-19,hhs8,0.784251,inc wili,observed data
